"id","ticker","price","change_amount","change_percentage","volume","category","date_fetched"
238,INTC,19.66,0.3,"1.5496%",43481838,most_actively_traded,2024-09-15 08:01:38.825
239,SPXS,7.19,-0.1,-1.3717%,43408781,most_actively_traded,2024-09-15 08:01:38.866
240,SPY,561.95,2.86,"0.5115%",38342550,most_actively_traded,2024-09-15 08:01:38.907
241,SMXWW,0.019,0.0129,"211.4754%",312427,top_gainers,2024-09-16 08:01:11.343
242,NOVVU,35.33,23.18,"190.7819%",17976,top_gainers,2024-09-16 08:01:11.439
243,NOVV,37.3,23.76,"175.4801%",205220,top_gainers,2024-09-16 08:01:11.475
244,HHGCW,0.0081,0.0051,"170.0%",1318,top_gainers,2024-09-16 08:01:11.520
245,SMX,5.95,3.5,"142.8571%",49583555,top_gainers,2024-09-16 08:01:11.558
246,FORLW,0.12,0.0699,"139.521%",87286,top_gainers,2024-09-16 08:01:11.587
247,OMIC,12.38,6.78,"121.0714%",2805543,top_gainers,2024-09-16 08:01:11.639
248,PLMIW,0.0999,0.0499,"99.8%",37481,top_gainers,2024-09-16 08:01:11.674
249,ALSAR,0.12,0.0567,"89.5735%",161579,top_gainers,2024-09-16 08:01:11.711
250,TIL,84.52,38.06,"81.9199%",3874138,top_gainers,2024-09-16 08:01:11.744
251,TNON,7.55,3.15,"71.5909%",24208511,top_gainers,2024-09-16 08:01:11.778
252,ONFOW,0.17,0.0689,"68.1503%",36342,top_gainers,2024-09-16 08:01:11.816
253,NOVVW,0.045,0.0181,"67.2862%",629372,top_gainers,2024-09-16 08:01:11.851
254,CLNNW,0.0498,0.0196,"64.9007%",275,top_gainers,2024-09-16 08:01:11.885
255,MRNOW,0.16,0.06,"60.0%",1067954,top_gainers,2024-09-16 08:01:11.921
256,ABLVW,0.0399,0.0144,"56.4706%",10,top_gainers,2024-09-16 08:01:11.952
257,CGBSW,0.02,0.0072,"56.25%",151083,top_gainers,2024-09-16 08:01:11.988
258,RELIW,0.06,0.0215,"55.8442%",1000,top_gainers,2024-09-16 08:01:12.027
259,APCXW,0.2,0.0698,"53.6098%",13014,top_gainers,2024-09-16 08:01:12.064
260,CEROW,0.01,0.0034,"51.5152%",7046,top_gainers,2024-09-16 08:01:12.101
261,GSIW,2.99,-9.21,-75.4918%,4165537,top_losers,2024-09-16 08:01:12.135
262,CCTSW,0.011,-0.024,-68.5714%,44541,top_losers,2024-09-16 08:01:12.166
263,UPC,0.544,-1.126,-67.4251%,30295669,top_losers,2024-09-16 08:01:12.197
264,COOTW,0.0105,-0.0179,-63.0282%,55000,top_losers,2024-09-16 08:01:12.234
265,SURGW,0.0064,-0.0095,-59.7484%,5459,top_losers,2024-09-16 08:01:12.263
266,LUCYW,0.0281,-0.0298,-51.468%,33636,top_losers,2024-09-16 08:01:12.297
267,HSPOW,0.0179,-0.0161,-47.3529%,352,top_losers,2024-09-16 08:01:12.329
268,VMAR,0.7797,-0.7003,-47.3176%,34716303,top_losers,2024-09-16 08:01:12.359
269,XBPEW,0.016,-0.013,-44.8276%,13163,top_losers,2024-09-16 08:01:12.390
270,CELUW,0.0111,-0.0088,-44.2211%,2241,top_losers,2024-09-16 08:01:12.430
271,GB+,0.056,-0.044,-44.0%,19423,top_losers,2024-09-16 08:01:12.467
272,BCGWW,0.0332,-0.0258,-43.7288%,3200,top_losers,2024-09-16 08:01:12.499
273,SLQT,2.03,-1.56,-43.454%,12813876,top_losers,2024-09-16 08:01:12.534
274,PRLD,2.77,-2.06,-42.6501%,2471404,top_losers,2024-09-16 08:01:12.574
275,NCPLW,0.0141,-0.0092,-39.485%,1500,top_losers,2024-09-16 08:01:12.612
276,KACLR,0.0901,-0.0567,-38.624%,555,top_losers,2024-09-16 08:01:12.645
277,ABVEW,0.015,-0.0092,-38.0165%,37045,top_losers,2024-09-16 08:01:12.673
278,KUKE,0.6019,-0.3581,-37.3021%,1352335,top_losers,2024-09-16 08:01:12.710
279,HCTI,0.32,-0.1884,-37.0574%,828986,top_losers,2024-09-16 08:01:12.748
280,RVSNW,0.0451,-0.0249,-35.5714%,350,top_losers,2024-09-16 08:01:12.785
281,NVDA,119.1,-0.04,-0.0336%,236538118,most_actively_traded,2024-09-16 08:01:12.838
282,XXII,0.3422,0.0729,"27.0702%",182584608,most_actively_traded,2024-09-16 08:01:12.882
283,IMRX,2.02,0.59,"41.2587%",136186831,most_actively_traded,2024-09-16 08:01:12.928
284,SQQQ,8.17,-0.11,-1.3285%,127087959,most_actively_traded,2024-09-16 08:01:12.962
285,MULN,0.1322,-0.0348,-20.8383%,116176508,most_actively_traded,2024-09-16 08:01:12.998
286,ATPC,1.75,0.3,"20.6897%",80217072,most_actively_traded,2024-09-16 08:01:13.039
